էկրանահան			screenshot
պատճենաշնորհ		copyright
իմակ				e-mail
նիշք				file
պանակ				folder, directory
զգիչ				sensor
կրիչ				flash drive
հետասոյթ			axiome
կենսակայուն			sustainable
հղանցք				concept
յղանցք				concept
վարկած				version
խելախօս				smartphone
խելախոս				smartphone
շարուածք			keyboard layout
կարգիչ				computer
հատարկում			brute-force search
թաւատառ				bold
շեղատառ				italic
կարգիչ				computer
հատարկում			brute-force search
թաւատառ				bold
շեղատառ				italic
բաժանորդագիր		subscription, season ticket
բաժանորդ			subscriber
բնիկ				native, aboriginal, indigenous
արագացուցիչ			accelerator
հաշիւ				account
հաշիվ				account
հասանելիություն		access, accessibility
հասանելիութիւն		access, accessibility
բաց հասանելիութեան շարժում	open access movement

